Texto;Sentiment;id
@EMGOJA Los de @LATAMAirlines para responder si tienen WIFI t piden datos estupidos.               ;-1;1
Realmente es vergonzoso el trato que le dan a los pasajeros frecuentes @LATAMAirlines Como compañia se cae todo lo…                ;-1;2
@LATAMAirlines lo abrieron vieron que lo rompieron y pusieron de nuevo un candado;-1;3
@LATAMAirlines cuantas personas abre su equipaje en el aeropuerto? Cuantas? Fue un equipaje despachado de acuerdo a…                ;-1;4
@LATAMAirlines el reclamos dos horas despues que aterrizo el avion y hoy un MAIL diciendo que lo tendriamos que hab…                ;-1;5
Asi quedo la guitarra que me destrozaron en @LATAMAirlines y hoy me dicen que no hay lugar a reclamos? Vuelo 503 Mi…                ;-1;6
Gracias @LATAMAirlines su servicio de respuesta a mis inquietudes e inconvenientes fue excelente y a tiempo.               ;1;7
@LATAMAirlines Ya fue respondida y espero sea el ultimo dato solicitado;-1;8
"@LATAMAirlines Hola, Estoy comprando un boleto, cuando estoy firmando el pago la pagina no me permite avanzar, dandole al boton ""continuar""               ";-1;9
Para responder si tienen WIFI en un vuelo necesitan tanta burocracia? Con decir si o no suficiente. Pateticos.                ;-1;10
@jbaraqui ...cuando se presenta un cambio involuntario que si te permite solicitar la devolucion. Saludos.               ;1;11
@cristian_gd @LATAMAirlines Animo CRISTIAN dudo q consigas algo               ;-1;12
@LATAMAirlines hay wi fi a bordo del vuelo a San Pablo               ;1;13
@LATAMAirlines somos dos pasajeros y en la web solo nos permite descargar una tarjeta sola               ;-1;14
Que mala gestion y q ineficiencia para solucionar sus propios errores @LATAM_CO @LATAMAirlines               ;-1;15
@LATAMAirlines Perdieron mi maleta de LMA-CANCUN;-1;16
@LATAMAirlines Supervisora en el aeropuerto nos insulto y se fue sin ayudar con las conexiones y la estadia. Estamos sin regreso ni hotel               ;-1;17
@LATAMAirlines PEOR servicio alcliente;-1;18
Llego una maleta mia en el vuelo 503 @LATAM_CHI @LATAMAirlines @LATAMAirlinesUS y la recibi sin la mitad del contenido;-1;19
"RT @enlascalles: @Aalliende @LATAM_CHI @LATAMAirlines Clasico! Es como que ""ellos"" se aburrieron de ""esperar"". Una locura               ";-1;20
@Aalliende @LatamIndignados @LATAM_CHI @LATAMAirlines Terrible atencion de una empresa que sugiereorontos cerrar               ;-1;21
"@Aalliende @LATAM_CHI @LATAMAirlines Clasico! Es como que ""ellos"" se aburrieron de ""esperar"". Una locura               ";-1;22
@LatamIndignados @LATAM_PER @LATAMAirlines UDS. son una aerolinea #corrupta y unos rateros eso es lo que son. Mis 2 pasajes mas de $200.               ;-1;23
Latam Airlines nombra nuevo director ejecutivo en Colombia                ;-1;24
Alguien de @LATAMAirlines le puede decir a su Call Center que atiendan please!               ;-1;25
@LATAMAirlines O al mail matil9@yahoo.com               ;-1;26
@LATAMAirlines porque me cambian el asiento que seleccione en mi chequeo               ;-1;27
@LATAMAirlines LA2429 Silva Maria Matilde Ines . El codigo de reserva es YMVIF'               ;-1;28
@LATAMAirlines \xc2\xbfse puede transportar CPU (o gabinete de PC de escritorio) como equipaje despachado o equipaje de mano?'               ;-1;29
@Iberia @LATAMAirlines @GoToGateAreShit segun ellos es con vosotros con quien tengo que hablar \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'               ;-1;30
"@LATAMAirlines (...) PLEASE DON""T CLOSE MY TICKET as it\'s STILL NOT RESOLVED. Half of the flights I requested are still missing. (...)'               ";-1;31
@LATAMAirlines no puedo ingresar a mi cuenta LatamPass;-1;32
RT @cadercanaya: Asi quedo la guitarra que me destrozaron en @LATAMAirlines y hoy me dicen que no hay lugar a reclamos? Vuelo 503 Mia-Scl y\xe2\x80\xa6'               ;-1;33
@EMGOJA Los de @LATAMAirlines para responder si tienen WIFI t piden datos estupidos.'               ;-1;34
Realmente es vergonzoso el trato que le dan a los pasajeros frecuentes @LATAMAirlines Como compañia se cae todo lo\xe2\x80\xa6 '               ;-1;35
@LATAMAirlines cuantas personas abre su equipaje en el aeropuerto? Cuantas? Fue un equipaje despachado de acuerdo '               ;-1;36
@LATAMAirlines el reclamos dos horas despues que aterrizo el avion y hoy un MAIL diciendo que lo tendriamos que hable '               ;-1;37
Asi quedo la guitarra que me destrozaron en @LATAMAirlines y hoy me dicen que no hay lugar a reclamos? Vuelo 503 Mi\xe2\x80\xa6 '               ;-1;38
Gracias @LATAMAirlines su servicio de respuesta a mis inquietudes e inconvenientes fue excelente y a tiempo.'               ;1;39
Para responder si tienen WIFI en un vuelo necesitan tanta burocracia? Con decir si o no suficiente. Pateticos. '               ;-1;40
@jbaraqui ...cuando se presenta un cambio involuntario que si te permite solicitar la devolucion. Saludos.'               ;-1;41
@LATAM_CHI una verguenza las respuestas q entregan. Uno responde y nadie contesta. Latam airlines lejos de lo q eral# la cia'               ;-1;42
LATAM Airlines la aerolinea mas inaficiente del mercado. Cobran por subir maletas con exceso al\xe2\x80\xa6 '               ;-1;43
