"","x"
"1","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"2","@LATAMAirlines  SIGO ESPERANDO ???? Que pasa con mi equipaje ??? No recibí ninguna solucion.30 horas despues de ate… https://t.co/DMpOQMv762"
"3","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"4","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"5","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"6","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"7","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"8","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"9","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"10","RT @blurryfaceriker: . @LATAMAirlines Hola. Algunos  bajos de guitarras de Riker Lynch @rikerR5 están faltando en el vuelo de ayer, desde S…"
"11","RT @BERNARDOSANABRI: Quiero prevenirlos de este robo que les hace a los viajeros la empresa @LATAMAirlines no te dicen que el equipaje no v…"
"12","RT @Lauquita: Aquí te va una canción para ti… No Way No (En Vivo) de Los Pericos
https://t.co/K3tj7F3Xyd @ignacioperrone @LATAMAirlines ded…"
"13","RT @proudofrydel: @rikerR5 @LATAMAirlines Pelotudo ahre te amo"
"14","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"15","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"16","RT @BERNARDOSANABRI: Quiero prevenirlos de este robo que les hace a los viajeros la empresa @LATAMAirlines no te dicen que el equipaje no v…"
"17","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"18","@rikerR5 @LATAMAirlines Che pierden todo ustedes"
"19","@rikerR5 @LATAMAirlines Pelotudo ahre te amo"
"20","@LATAMAirlines podéis ayudar @rikerR5 ? Sus bajos de guitarra están faltando en el vuelo de ayer desde Santiago a L… https://t.co/IWusXmKLHq"
"21","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"22","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"23","@AsterionLeitz Gracias por escribirnos, y para entregarte una respuesta concreta, confírmanos vía DM, tus nombres c… https://t.co/WmhSofJQvw"
"24","@rikerR5 @LATAMAirlines But like all of their replies are in Spanish so it's better to write them in Spanish. Is in… https://t.co/SSYEjEYKv5"
"25","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"26","@rikerR5 I think it's better to send some DMs to @LATAMAirlines of some further information about your flight, like… https://t.co/uLNVbGgHgw"
"27","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"28","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
