"","x"
"1","@rikerR5 @LATAMAirlines Omg I am going to cry, I hope you find them soon"
"2","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"3","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"4","@rikerR5 @officialR5 @LATAMAirlines Ahora que wea vas a tocar????"
"5","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"6","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"7","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"8","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"9","@Vivi_Navarrete_ @rikerR5 @officialR5 @LATAMAirlines Siii <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
"10","@LATAMAirlines Como consecuencia de un cambio de fecha del vuelo de retorno, se cambió la ruta de mi pasaje. Esto a… https://t.co/6dS9JuMunZ"
"11","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"12",".  @LATAMAirlines Hola. Algunos  bajos de guitarras de Riker Lynch @rikerR5 están faltando en el vuelo de ayer, des… https://t.co/Jf8wLz0l75"
"13","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"14","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"15","RT @BERNARDOSANABRI: Quiero prevenirlos de este robo que les hace a los viajeros la empresa @LATAMAirlines no te dicen que el equipaje no v…"
"16","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"17","@rikerR5 @LATAMAirlines Noooo<ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>"
"18","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"19","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"20","RT @BERNARDOSANABRI: Quiero prevenirlos de este robo que les hace a los viajeros la empresa @LATAMAirlines no te dicen que el equipaje no v…"
"21","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"22","I want to explore #Argentina. Pick where you want to go and @LATAMAirlines will send you the best #CyberLATAM offer. https://t.co/GePtdqelPa"
"23","RT @ola_095: @rikerR5 @LATAMAirlines You guys have lost so many things recently <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
"24","RT @R5Chile: Al parecer Riker tuvo problemas con sus instrumentos en el viaje de Santiago a Lima ¡Paren el mundo y busquenlos <ed><U+00A0><U+00BD><ed><U+00B8><U+009F>! @LATAMAirl…"
"25","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"26","@rikerR5 @LATAMAirlines HUBIERAS PERDIDO ESOS ANTEOJOS CHOTOS LPM AHRE TE AMO"
"27","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"28","@rikerR5 @LATAMAirlines First Rydel the you <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> what's going on?"
"29","RT @BERNARDOSANABRI: Quiero prevenirlos de este robo que les hace a los viajeros la empresa @LATAMAirlines no te dicen que el equipaje no v…"
"30","RT @paola_villalba7: No es cierto. La publicidad dice que un pasaje cuesta USD 248. Luego al comprar sale USD 460. Es una publicidad engaño…"
"31","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"32","@rikerR5 @LATAMAirlines Yo just start tweeting to see if anyone coming to the show has one they can let you borrow"
"33","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"34","RT @BERNARDOSANABRI: Quiero prevenirlos de este robo que les hace a los viajeros la empresa @LATAMAirlines no te dicen que el equipaje no v…"
"35","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"36","RT @swlfoto: Dreamliner #787 #boeing #airplane #dreamliner #avion #pasillo #swl #swlfoto boeing latamairlines https://t.co/NoaxB26Sxa"
"37","@rikerhug @rikerR5 @LATAMAirlines Y así dicen que lo aman , quien los entiende"
"38","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"39",". @LATAMAirlines Hola. Algunos  bajos de guitarras de Riker Lynch @rikerR5 están faltando en el vuelo de ayer, desd… https://t.co/Fq5qaqfn7Q"
"40","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"41","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"42","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"43","No es cierto. La publicidad dice que un pasaje cuesta USD 248. Luego al comprar sale USD 460. Es una publicidad eng… https://t.co/oqdZpzah7P"
"44","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"45","@LATAMAirlines 
Hello! I just tried to submit a request to accumulate kilometers on your website, and somehow I can… https://t.co/87mVqUfQ5s"
"46","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"47","@LATAMAirlines Hola. Algunos  bajos de guitarras de Riker Lynch @rikerR5 están faltando en el vuelo de ayer, desde… https://t.co/m89OWI75z7"
"48","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"49","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
